ucode,batch,taxable_amount,total_amount,date,location,date_span,gdnreturndate,invoice_no,dispatching_branch,transactionno,transactiontype,medicinename,hsncode,qty,pack_quantity,gst,epr,purchase_rate,taxamount,flag,warehouseid,invoice,linenum,postingdate,gdndate,itemtypeid,txt,currencycode,department,profitcentre,segment,warehousegstnumber,customerid,customergstnumber,company,wareshouse_city_id,vendor_city_id,credit_note_number,e_invoicing_irn_number,e_invoicing_date,debitnote_status,dest_company,report_type,eway_bill_needed,einvoice_needed,gst_state,customer_status,original invoice no,original invoice,igst_value,cgst_value,sgst_value,posting profile,customer_pdi,dt
16405,I202470,19.955,19.955,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000019,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57708,GDN Return Mercury,ATEN 50MG STRIP OF 14 TABLETS,30049074,1,14 UNITS,0,19.96,19.955,0,NORMAL,th400,DR0408-25A00001957708,4291,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
29935,U301761,135.18,135.18,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000018,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57707,GDN Return Mercury,BUDAMATE 200MCG BOX OF 30 TRANSCAPS,30049094,1,30 UNITS,0,135.18,135.18,0,NORMAL,th400,DR0408-25A00001857707,7366,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
139885,48018462-,70.65,79.128,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000218,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71313,GDN Return Mercury,PIOZ 30MG STRIP OF 10 TABLETS,30049099,1,1,12,70.65,70.65,8.48,NORMAL,th223,DR0428-25A00021871313,477463,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,8.48,0,0,MSPP,73034,2025-07-01
32588,11240021,172.93,172.93,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000027,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57718,GDN Return Mercury,CANDID CL GEL,30049029,1,30 G,0,172.93,172.93,0,NORMAL,th400,DR0408-25A00002757718,2670,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
32589,5231248,101.9,101.9,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000027,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57718,GDN Return Mercury,CANDID B TUBE OF 20GM CREAM,30049029,1,20 G,0,101.9,101.9,0,NORMAL,th400,DR0408-25A00002757718,2682,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
187520,SID1782C-,69.42,77.7504,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000218,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71313,GDN Return Mercury,ZEMPRED 4MG STRIP OF 10 TABLETS,300490,2,1,12,34.71,34.71,8.33,NORMAL,th223,DR0428-25A00021871313,481394,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,8.33,0,0,MSPP,73034,2025-07-01
192590,MGAS0076-,108,120.96,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000218,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71313,GDN Return Mercury,MOXIGRAM 0.5% BOTTLE OF 5ML EYE DROPS,30049087,1,1,12,108,108,12.96,NORMAL,th223,DR0428-25A00021871313,482895,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,12.96,0,0,MSPP,73034,2025-07-01
54910,K23017,113.78,127.4336,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,DEXORANGE ORANGE FLAVOUR PAEDIATRIC BOTTLE OF 60ML SYRUP,30045010,2,1,12,56.89,56.89,13.65,NORMAL,th213,DR0214-25A000042131714,18122,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,6.83,6.83,MSPP,3449,2025-06-27
208298,SXE1110A-,83.57,93.5984,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000218,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71313,GDN Return Mercury,GENTALENE PLUS TUBE OF 20GM CREAM,30049029,1,1,12,83.57,83.57,10.03,NORMAL,th223,DR0428-25A00021871313,486148,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,10.03,0,0,MSPP,73034,2025-07-01
55896,F23029,98.68,110.5216,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,DIAVIT PLUS STRIP OF 10 SOFTGEL CAPSULES,30045032,1,1,12,98.68,98.68,11.84,NORMAL,th213,DR0214-25A000042131714,18237,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,5.92,5.92,MSPP,3449,2025-06-27
65510,SIF1614A,89.26,89.26,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000032,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57724,GDN Return Mercury,ELIWEL 25MG STRIP OF 10 TABLETS,30049082,5,10 UNITS,0,17.85,17.852,0,NORMAL,th400,DR0408-25A00003257724,5896,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
219034,SIE1669A-,70.72,79.2064,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000218,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71313,GDN Return Mercury,RASALECT 0.5MG STRIP OF 10 TABLETS,30049099,1,1,12,70.72,70.72,8.49,NORMAL,th223,DR0428-25A00021871313,487044,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,8.49,0,0,MSPP,73034,2025-07-01
76286,M23006,97.39,109.0768,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,FINATE 160MG STRIP OF 10 TABLETS,30049099,1,1,12,97.39,97.39,11.69,NORMAL,th213,DR0214-25A000042131714,19987,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,5.84,5.84,MSPP,3449,2025-06-27
254512,SIF0114A-,186.1,219.598,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000218,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71313,GDN Return Mercury,NORMOZ STRIP OF 10 TABLETS,21069099,1,1,18,186.1,186.1,33.5,NORMAL,th223,DR0428-25A00021871313,493611,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,33.5,0,0,MSPP,73034,2025-07-01
85700,M23044,15.14,16.9568,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,GLYCIPHAGE SR 500MG STRIP OF 10 TABLETS,30049011,1,1,12,15.14,15.14,1.82,NORMAL,th213,DR0214-25A000042131714,21260,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,0.91,0.91,MSPP,3449,2025-06-27
87080,E23014,237.37,265.8544,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,GRILINCTUS BM PAEDIATRIC BOTTLE OF 30ML SYRUP,30049011,7,1,12,33.91,33.91,28.48,NORMAL,th213,DR0214-25A000042131714,21665,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,14.24,14.24,MSPP,3449,2025-06-27
87085,S23025,74.89,83.8768,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,GRILINCTUS BM BOTTLE OF 100ML SYRUP,30049011,1,1,12,74.89,74.89,8.99,NORMAL,th213,DR0214-25A000042131714,21671,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,4.49,4.49,MSPP,3449,2025-06-27
87085,M23022,374.45,419.384,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,GRILINCTUS BM BOTTLE OF 100ML SYRUP,30049011,5,1,12,74.89,74.89,44.93,NORMAL,th213,DR0214-25A000042131714,21677,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,22.47,22.47,MSPP,3449,2025-06-27
112495,E22003,176.14,197.2768,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,MELANOCYL 1% SOLU 25ML,30049011,2,1,12,88.07,88.07,21.14,NORMAL,th213,DR0214-25A000042131714,23502,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,10.57,10.57,MSPP,3449,2025-06-27
121140,C10K24014B,144,144,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000014,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57703,GDN Return Mercury,NEOPEPTINE BOTTLE OF 15ML ORAL DROPS,30049084,2,15.0 ML,0,72,72,0,NORMAL,th400,DR0408-25A00001457703,12410,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
149880,23005,182.96,204.9152,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,RELAXYL DA TUBE OF 30GM THERMOGEL,30049011,2,1,12,91.48,91.48,21.96,NORMAL,th213,DR0214-25A000042131714,27058,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,10.98,10.98,MSPP,3449,2025-06-27
150400,RAN3FDA3,96.42,96.42,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000025,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57715,GDN Return Mercury,RENOLEN BOTTLE OF 10ML EYE DROPS,30049099,2,10 ML,0,48.21,48.21,0,NORMAL,th400,DR0408-25A00002557715,16517,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
161705,S22049,65.25,65.25,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000040,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57732,GDN Return Mercury,SORBILINE BOTTLE OF 100ML SYRUP,30049099,1,100.0 ML,0,65.25,65.25,0,NORMAL,th400,DR0408-25A00004057732,16589,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
161710,M22011,197.36,221.0432,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,SORBILINE BOTTLE OF 200ML SYRUP,30049099,2,1,12,98.68,98.68,23.68,NORMAL,th213,DR0214-25A000042131714,28056,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,11.84,11.84,MSPP,3449,2025-06-27
170130,I202873,340.84,340.84,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000019,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57708,GDN Return Mercury,THROMBOPHOB TUBE OF 20GM OINTMENT,30019091,4,20.0 G,0,85.21,85.21,0,NORMAL,th400,DR0408-25A00001957708,17643,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
191800,U300954,172.802,172.802,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000018,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57707,GDN Return Mercury,BUDAMATE 400MCG TRANSCAPS,30049094,1,30 UNITS,0,172.8,172.802,0,NORMAL,th400,DR0408-25A00001857707,21762,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
193475,AFB23Y39,70.25,70.25,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000024,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57714,GDN Return Mercury,CPINK BOTTLE OF 15ML ORAL DROPS,30045010,1,15 ML,0,70.25,70.25,0,NORMAL,th400,DR0408-25A00002457714,21689,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
193763,F23121,109.48,122.6176,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,DEXORANGE BOTTLE OF 30 CAPSULES,30045032,1,1,12,109.48,109.48,13.14,NORMAL,th213,DR0214-25A000042131714,32662,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,6.57,6.57,MSPP,3449,2025-06-27
194097,E16JK23001,80.1,80.1,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000017,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57706,GDN Return Mercury,OROFER XT DROPS 15ML,30045020,1,15.0 ML,0,80.1,80.1,0,NORMAL,th400,DR0408-25A00001757706,22188,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
197408,TAX1FDA1,28.085,28.085,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000025,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57715,GDN Return Mercury,TRIZ BOTTLE OF 60ML SYRUP,30049031,1,60 ML,0,28.09,28.085,0,NORMAL,th400,DR0408-25A00002557715,23109,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
265238,1AAIW215-,117.48,138.6264,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000218,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71313,GDN Return Mercury,HEALTH OK SACHET OF 5GM ORAL POWDER,21069099,6,1,18,19.58,19.58,21.15,NORMAL,th223,DR0428-25A00021871313,496065,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,21.15,0,0,MSPP,73034,2025-07-01
200210,M23006,136.92,153.3504,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,OMILCAL FORTE STRIP OF 15 TABLETS,30045039,2,1,12,68.46,68.46,16.43,NORMAL,th213,DR0214-25A000042131714,33958,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,8.22,8.22,MSPP,3449,2025-06-27
208457,PI10410623,131.192,131.192,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000018,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57707,GDN Return Mercury,LUPISULIN M 30/70 40IU VIAL OF 10ML INJECTION,30043110,1,10 ML,0,131.19,131.192,0,NORMAL,th400,DR0408-25A00001857707,25834,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
228037,ARFS0017,326.56,326.56,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000015,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57704,GDN Return Mercury,ARBITEL MT 25MG STRIP OF 7 TABLETS,30049079,4,7 UNITS,0,81.64,81.64,0,NORMAL,th400,DR0408-25A00001557704,30332,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
239111,SH23007,81.32,91.0784,2025-06-27,Simba_SMBA,Jun-2025,2025-06-27,DR0214-25A000042,THREPSI SOLUTIONS PVT LTD (MR-MUM),131714,GDN Return Mercury,BENALGIS 100MG STRIP OF 10 TABLETS,30049099,1,1,12,81.32,81.32,9.76,NORMAL,th213,DR0214-25A000042131714,38705,2025-06-27,,Medicine,,INR,,B2C,Medicine,27AASCA3306L1ZE,th214,27AAHCT1527F1ZG,AWPSPL,,1,,,,,TSPL,GDN_RETURN_OTHERS,,,27-Maharashtra,RP,,,0,4.88,4.88,MSPP,3449,2025-06-27
239556,ARES0015,217.28,217.28,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000015,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57704,GDN Return Mercury,ARBITEL AMH STRIP OF 10 TABLETS,30049079,2,10 UNITS,0,108.64,108.64,0,NORMAL,th400,DR0408-25A00001557704,30747,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
242474,U201753,92.586,92.586,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000018,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57707,GDN Return Mercury,STARPRESS XL 12.5MG STRIP OF 10 TABLETS,30049074,3,10 UNITS,0,30.86,30.862,0,NORMAL,th400,DR0408-25A00001857707,31430,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
I33947,2319103E-,169.54,189.8848,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000218,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71313,GDN Return Mercury,GELUSIL MPS ORIGINAL MINT FLAVOUR SUGAR FREE BOTTLE OF 200ML LIQUID,30049032,2,1,12,84.77,84.77,20.34,NORMAL,th223,DR0428-25A00021871313,514873,2025-07-01,,Otc,,INR,,B2C,Otc,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,20.34,0,0,MSPP,73034,2025-07-01
114525,MO2-16,264.17,295.8704,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000220,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71316,GDN Return Mercury,MICROGEST 200MG STRIP OF 10 CAPSULES,300490,1,1,12,264.17,264.17,31.7,NORMAL,th223,DR0428-25A00022071316,93330,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,31.7,0,0,MSPP,73034,2025-07-01
246320,AM221041,8.21,8.21,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000023,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57712,GDN Return Mercury,METROGYL 200MG STRIP OF 15 TABLETS,30049022,1,15 UNITS,0,8.21,8.21,0,NORMAL,th400,DR0408-25A00002357712,32164,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
254149,J304319,35.812,35.812,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000018,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57707,GDN Return Mercury,TONACT ASP 75MG STRIP OF 15 CAPSULES,30049079,1,15 UNITS,0,35.81,35.812,0,NORMAL,th400,DR0408-25A00001857707,32982,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
262312,GGMA22005,144.69,144.69,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000036,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57728,GDN Return Mercury,GLIMISAVE MV 1 STRIP OF 15 TABLETS,30049079,1,15 UNITS,0,144.69,144.69,0,NORMAL,th400,DR0408-25A00003657728,35002,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
265103,PF0584,113.78,113.78,2025-06-27,Bengaluru_VPIM,Jun-2025,2025-06-27,DR0408-25A000038,KALINGA PHARMATECH (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-BBI-PAH),57730,GDN Return Mercury,BETADINE 5% TUBE OF 25GM OINTMENT,30049087,2,25.0 G,0,56.89,56.89,0,NORMAL,th400,DR0408-25A00003857730,36216,2025-06-27,,Medicine,,INR,,B2C,Medicine,29AASCA3306L1ZA,th408,21AASCA3306L1ZQ,AWPSPL,,6002,,,,,AWPSPL,GDN_RETURN,,,21-Odisha,RP,,,0,0,0,MSPP,37888,2025-06-27
